"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","30","47","3","14","27","1","2","3","6.3829787234043","6.3829787234043","29.787234042553","2020-04-20 16:28:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","10","15","2","3","8","2","0","2","13.333333333333","13.333333333333","20","2020-04-20 16:28:00"
"PEREIRA","RISARALDA","8.51722410471","-76.0759945061","60","86","4","22","57","2","1","3","3.4883720930233","4.6511627906977","25.581395348837","2020-04-20 16:28:00"
"PITALITO","HUILA","10.813131477","-74.8414613702","3","3","0","0","2","1","0","1","33.333333333333","","","2020-04-20 16:28:00"
"POLONUEVO","ATLANTICO","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"PONEDERA","ATLANTICO","10.6417959278","-74.7539004396","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"POPAYAN","CAUCA","-76.5740646841","2.48250339062","6","15","1","8","5","1","0","1","6.6666666666667","6.6666666666667","53.333333333333","2020-04-20 16:28:00"
"PUERTO COLOMBIA","ATLANTICO","11.0229400539","-74.851963565","4","4","0","0","4","0","0","","","","","2020-04-20 16:28:00"
"PUERTO SANTANDER","NORTE DE SANTANDER","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"PUERTO TEJADA","CAUCA","0.988590121237","-75.0660995429","2","2","0","0","0","2","0","2","100","","","2020-04-20 16:28:00"
"QUIBDO","CHOCO","-76.6259693555","5.69219518726","8","8","0","0","7","1","0","1","12.5","","","2020-04-20 16:28:00"
"RESTREPO","META","4.26073199369","-73.5646041828","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"RETIRO","ANTIOQUIA","6.06337995392","-75.5013751615","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"RIOHACHA","LA GUAJIRA","11.5287513839","-72.911488911","0","2","1","1","0","0","0","","","50","50","2020-04-20 16:28:00"
"RIONEGRO","ANTIOQUIA","6.14722409002","-75.3767693823","2","10","0","8","2","0","0","","","","80","2020-04-20 16:28:00"
"SABANETA","ANTIOQUIA","6.15097018093","-75.6155852932","2","9","0","7","2","0","0","","","","77.777777777778","2020-04-20 16:28:00"
"SAHAGUN","CORDOBA","-75.4459203022","8.94312541611","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"SAN AGUSTIN","HUILA","-74.661049672","8.167921639","2","2","0","0","1","1","0","1","50","","","2020-04-20 16:28:00"
"SAN ANDRES","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","-75.440016949","6.39872921828","5","6","0","1","5","0","0","","","","16.666666666667","2020-04-20 16:28:00"
"SAN ANDRES DE TUMACO","NARIÑO","-78.7638541478","1.80711725006","5","7","1","1","5","0","0","","","14.285714285714","14.285714285714","2020-04-20 16:28:00"
"SAN CRISTOBAL","BOLIVAR","-75.0655341715","10.3928557722","1","1","0","0","0","0","1","1","100","","","2020-04-20 16:28:00"
"SAN DIEGO","CESAR","5.66527168584","-74.9332394378","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"SAN FRANCISCO","ANTIOQUIA","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","","2020-04-20 16:28:00"
"SAN JUAN DE RIOSECO","CUNDINAMARCA","4.84757599913","-74.6219147166","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"SAN MARTIN","CESAR","-76.8447910108","6.53433012953","1","1","0","0","0","0","1","1","100","","","2020-04-20 16:28:00"
"SAN PEDRO","VALLE DEL CAUCA","5.25045488109","-75.7942693728","1","2","0","1","1","0","0","","","","50","2020-04-20 16:28:00"
"SAN PEDRO DE URABA","ANTIOQUIA","-76.380577886","8.27688666409","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"SANTA FE DE ANTIOQUIA","ANTIOQUIA","-75.827079071","6.55653329637","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"SANTA MARTA","SANTA MARTA D.T. Y C.","8.11321398354","-75.9133161358","56","74","9","9","46","7","3","10","13.513513513514","12.162162162162","12.162162162162","2020-04-20 16:28:00"
"SANTA ROSA DE CABAL","RISARALDA","4.86752645418","-75.6200106565","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"SANTA ROSA DE OSOS","ANTIOQUIA","6.64332600099","-75.4607450191","0","2","0","2","0","0","0","","","","100","2020-04-20 16:28:00"
"SANTA SOFIA","BOYACA","-73.6027071719","5.71326942075","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"SANTANA","BOYACA","5.77866547593","-72.945544503","2","4","0","2","2","0","0","","","","50","2020-04-20 16:28:00"
"SANTANDER DE QUILICHAO","CAUCA","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"SANTO TOMAS","ATLANTICO","-74.7541118585","10.756056293","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"SIBATE","CUNDINAMARCA","-74.2589922464","4.48976359282","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"SINCELEJO","SUCRE","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"SOACHA","CUNDINAMARCA","4.58549165821","-74.2145275305","24","32","1","7","18","6","0","6","18.75","3.125","21.875","2020-04-20 16:28:00"
"SOCHA","BOYACA","5.99671302142","-72.6919658568","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"SOGAMOSO","BOYACA","5.72568939005","-72.9230476859","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"SOLEDAD","ATLANTICO","10.9101744673","-74.784833384","12","19","2","5","12","0","0","","","10.526315789474","26.315789473684","2020-04-20 16:28:00"
"SONSON","ANTIOQUIA","-75.3093951469","5.71481164114","2","2","0","0","0","2","0","2","100","","","2020-04-20 16:28:00"
"SOPO","CUNDINAMARCA","-73.9457748929","4.90633080922","3","3","0","0","2","1","0","1","33.333333333333","","","2020-04-20 16:28:00"
"SUBACHOQUE","CUNDINAMARCA","4.92907928898","-74.1727084609","1","3","0","2","1","0","0","","","","66.666666666667","2020-04-20 16:28:00"
"SUESCA","CUNDINAMARCA","5.10351683913","-73.7982897825","3","4","1","0","1","2","0","2","50","25","","2020-04-20 16:28:00"
"TENJO","CUNDINAMARCA","4.87196053725","-74.1439562115","5","6","1","0","3","1","1","2","33.333333333333","16.666666666667","","2020-04-20 16:28:00"
"TENZA","BOYACA","5.0770743509","-73.4205891075","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"TIERRALTA","CORDOBA","9.10500159924","-75.806480569","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"TIMANA","HUILA","-75.932086996","1.9742244433","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"TIMBIO","CAUCA","-76.6842387889","2.34997642507","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"TOCANCIPA","CUNDINAMARCA","-73.9120912065","4.96478635371","1","3","0","2","0","1","0","1","33.333333333333","","66.666666666667","2020-04-20 16:28:00"
"TOGÜI","BOYACA","-73.5136550618","5.93743822459","10","12","0","2","10","0","0","","","","16.666666666667","2020-04-20 16:28:00"
"TRUJILLO","VALLE DEL CAUCA","1.78795153983","-78.6122376428","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"TULUA","VALLE DEL CAUCA","-76.1976996795","4.08526123852","10","12","0","2","9","1","0","1","8.3333333333333","","16.666666666667","2020-04-20 16:28:00"
"TUNJA","BOYACA","5.53995323795","-73.3554887287","4","7","1","2","4","0","0","","","14.285714285714","28.571428571429","2020-04-20 16:28:00"
"TUQUERRES","NARIÑO","-77.6168863825","1.08519335919","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"TURBACO","BOLIVAR","10.3327691633","-75.4244091655","6","8","1","1","6","0","0","","","12.5","12.5","2020-04-20 16:28:00"
"ULLOA","VALLE DEL CAUCA","4.70251391059","-75.7377474697","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"VALLEDUPAR","CESAR","10.4604812152","-73.259389309","15","33","0","18","14","0","1","1","3.030303030303","","54.545454545455","2020-04-20 16:28:00"
"VIJES","VALLE DEL CAUCA","3.69858792939","-76.4419652068","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"VILLA DE SAN DIEGO DE UBATE","CUNDINAMARCA","5.30754098383","-73.8143463395","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"VILLA DEL ROSARIO","NORTE DE SANTANDER","5.89524387061","-76.5440065535","2","3","0","1","2","0","0","","","","33.333333333333","2020-04-20 16:28:00"
"VILLAMARIA","CALDAS","-75.5137606023","5.04380668643","1","3","0","2","1","0","0","","","","66.666666666667","2020-04-20 16:28:00"
"VILLAPINZON","CUNDINAMARCA","-73.5953546674","5.21643837183","3","5","2","0","3","0","0","","","40","","2020-04-20 16:28:00"
"VILLAVICENCIO","META","8.45697278227","-76.1247069871","43","54","4","7","42","1","0","1","1.8518518518519","7.4074074074074","12.962962962963","2020-04-20 16:28:00"
"VILLETA","CUNDINAMARCA","5.01279063928","-74.469704945","3","4","0","1","3","0","0","","","","25","2020-04-20 16:28:00"
"VITERBO","CALDAS","5.06266423587","-75.8706098599","0","2","0","2","0","0","0","","","","100","2020-04-20 16:28:00"
"YOPAL","CASANARE","5.3276126513","-72.396915159","8","10","0","2","8","0","0","","","","20","2020-04-20 16:28:00"
"YOTOCO","VALLE DEL CAUCA","3.86121458419","-76.3824744527","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"YUMBO","VALLE DEL CAUCA","3.52896890809","-76.499819783","12","17","0","5","11","1","0","1","5.8823529411765","","29.411764705882","2020-04-20 16:28:00"
"ZIPAQUIRA","CUNDINAMARCA","-73.9944712419","5.02547168537","8","9","1","0","6","1","1","2","22.222222222222","11.111111111111","","2020-04-20 16:28:00"
"ZONA BANANERA","MAGDALENA","10.764167","-74.157222","1","2","1","0","1","0","0","","","50","","2020-04-20 16:28:00"
"SAN JOSE DE ISNOS","HUILA","1.92946706016","-76.2176374469","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
