"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Acacías","Meta","3.99012066334","-73.765936654","5","6","0","1","5","0","0","","23","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-25 16:50:00"
"Acevedo","Huila","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","10","10","100","","100","","","","100","2020-04-25 16:50:00"
"Agrado","Huila","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-25 16:50:00"
"Aguachica","Cesar","8.31033695838","-73.599028585","1","1","0","0","0","1","0","1","369","0.2710027100271","100","","100","","","","100","2020-04-25 16:50:00"
"Agustín Codazzi","Cesar","10.0404579941","-73.2383961682","1","1","0","0","0","1","0","1","119","0.84033613445378","100","","100","","","","100","2020-04-25 16:50:00"
"Aipe","Huila","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","8","","","100","","","","","100","2020-04-25 16:50:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-04-25 16:50:00"
"Anapoima","Cundinamarca","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","0","","","","","","","100","","2020-04-25 16:50:00"
"Andalucía","Valle del Cauca","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","10","10","100","","100","","","","100","2020-04-25 16:50:00"
"Andes","Antioquia","5.65677485248","-75.8787918873","1","1","0","0","1","0","0","","20","","","100","","","","","100","2020-04-25 16:50:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","6","","","100","","","","","100","2020-04-25 16:50:00"
"Anserma","Caldas","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","20","","","100","","","","","100","2020-04-25 16:50:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","3","4","0","1","3","0","0","","317","","","75","","","","25","75","2020-04-25 16:50:00"
"Aquitania","Boyacá","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","7","","","100","","","","","100","2020-04-25 16:50:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","4","4","0","0","4","0","0","","20","","","100","","","","","100","2020-04-25 16:50:00"
"Armenia","Quindio","6.15581872915","-75.7868378278","23","41","1","17","23","0","0","","6","","","56.09756097561","","","2.4390243902439","41.463414634146","56.09756097561","2020-04-25 16:50:00"
"Baranoa","Atlántico","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","436","","","100","","","","","100","2020-04-25 16:50:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","14","","","100","","","","","100","2020-04-25 16:50:00"
"Barrancabermeja","Santander","7.06496386399","-73.8499569753","3","6","1","2","3","0","0","","399","","","50","","","16.666666666667","33.333333333333","50","2020-04-25 16:50:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-25 16:50:00"
"Barranquilla","Barranquilla D.E.","10.9759268186","-74.7952590482","63","101","5","33","56","4","3","7","5198","0.13466717968449","6.9306930693069","55.445544554455","3.960396039604","2.970297029703","4.950495049505","32.673267326733","62.376237623762","2020-04-25 16:50:00"
"Bello","Antioquia","6.33406883641","-75.554665073","36","50","1","13","35","0","1","1","711","0.14064697609001","2","70","","2","2","26","72","2020-04-25 16:50:00"
