"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"5001","Medellin","5","Antioquia","5.610109776","-74.88681663","157","385","3","225","147","6","4","10","2885","0.003","0.026","0.382","0.016","0.010","0.008","0.0011842","0.584","0.408","6580.000","844475.000","2020-05-21 16:26:00"
"5030","Amaga","5","Antioquia","6.038808575","-75.70194607","1","1","0","0","1","0","0","0","5","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","31283.000","","2020-05-21 16:26:00"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","1","1","0","0","1","0","0","0","10","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","44199.000","","2020-05-21 16:26:00"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","11536.000","","2020-05-21 16:26:00"
"5045","Apartado","5","Antioquia","7.883417406","-76.62596065","8","12","0","4","8","0","0","0","158","0.000","0.000","0.667","0.000","0.000","0.000","0.0000000","0.333","0.667","10645.000","","2020-05-21 16:26:00"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","1","1","0","0","1","0","0","0","7","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","54347.000","","2020-05-21 16:26:00"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","12","50","1","37","11","0","1","1","355","0.003","0.020","0.220","0.000","0.020","0.020","0.0018111","0.740","0.240","11043.000","552154.000","2020-05-21 16:26:00"
"5129","Caldas","5","Antioquia","6.091296966","-75.63361872","0","3","0","3","0","0","0","0","49","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","27808.000","","2020-05-21 16:26:00"
"5148","El Carmen de Viboral","5","Antioquia","6.084551516","-75.33536246","1","1","0","0","1","0","0","0","11","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","62581.000","","2020-05-21 16:26:00"
"5154","Caucasia","5","Antioquia","7.977362333","-75.19829033","1","1","0","0","1","0","0","0","126","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","95427.000","","2020-05-21 16:26:00"
"5190","Cisneros","5","Antioquia","6.537761957","-75.08720761","1","1","0","0","1","0","0","0","6","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","9936.000","","2020-05-21 16:26:00"
"5197","Cocorna","5","Antioquia","6.058306335","-75.18548101","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","14833.000","","2020-05-21 16:26:00"
"5212","Copacabana","5","Antioquia","6.348640545","-75.5093439","4","12","0","8","4","0","0","0","6","0.000","0.000","0.333","0.000","0.000","0.000","0.0000000","0.667","0.333","6818.000","","2020-05-21 16:26:00"
"5237","Donmatias","5","Antioquia","6.484469957","-75.39272406","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","19709.000","","2020-05-21 16:26:00"
"5250","El Bagre","5","Antioquia","7.597521794","-74.79909729","1","1","0","0","1","0","0","0","12","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","53846.000","","2020-05-21 16:26:00"
"5266","Envigado","5","Antioquia","6.167004552","-75.58301014","4","28","0","24","3","1","0","1","131","0.008","0.036","0.107","0.036","0.000","0.000","0.0000000","0.857","0.143","8650.000","","2020-05-21 16:26:00"
"5284","Frontino","5","Antioquia","6.776065912","-76.13076514","0","1","0","1","0","0","0","0","5","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","20700.000","","2020-05-21 16:26:00"
"5313","Granada","5","Antioquia","6.142896667","-75.18444508","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","1.000","0.1024170","0.000","0.000","9764.000","9764.000","2020-05-21 16:26:00"
"5318","Guarne","5","Antioquia","6.278064077","-75.44165392","0","3","0","3","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","19386.000","","2020-05-21 16:26:00"
"5321","Guatape","5","Antioquia","6.232592707","-75.16229259","0","2","0","2","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","4355.000","","2020-05-21 16:26:00"
"5360","Itagui","5","Antioquia","6.169597629","-75.61435871","3","17","0","14","3","0","0","0","168","0.000","0.000","0.176","0.000","0.000","0.000","0.0000000","0.824","0.176","17058.000","","2020-05-21 16:26:00"
"5361","Ituango","5","Antioquia","7.17162903","-75.76467317","11","11","0","0","11","0","0","0","8","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","2526.000","","2020-05-21 16:26:00"
"5376","La Ceja","5","Antioquia","6.028055744","-75.42943089","0","2","0","2","0","0","0","0","120","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","34163.000","","2020-05-21 16:26:00"
